,org_id,endpoint_id,status,current,date_time,Churn_status
1005,160090,2631826,3,1,2017-12-02,Churned
3572,160090,2631844,3,1,2017-12-02,Churned
3573,160090,2631853,3,1,2017-12-02,Churned
1006,160090,2631858,3,1,2017-12-02,Churned
18,160090,2631877,3,1,2017-12-02,Churned
11777,160090,2635812,3,1,2018-05-29,Churned
9431,160090,2638017,3,1,2017-12-02,Churned
19,160090,2638674,3,1,2017-12-02,Churned
9818,160090,7916220,4,0,2018-01-18,Not Churned
23277,160090,13940995,4,0,2018-05-22,Not Churned
20,160090,15994683,3,1,2017-12-02,Churned
225,160090,16804679,3,1,2017-12-02,Churned
719,160090,16896157,3,1,2017-12-02,Churned
1390,160090,16945226,3,1,2017-12-02,Churned
43434,160090,17147221,3,1,2018-05-29,Churned
7001,160090,17474528,3,1,2017-12-02,Churned
5649,160090,19536419,3,1,2017-12-02,Churned
4234,160090,20044814,3,1,2017-12-02,Churned
34004,160090,23005158,4,0,2018-05-24,Not Churned
720,160090,23680297,3,1,2017-12-02,Churned
2639,160090,29339701,3,1,2018-01-20,Churned
7368,160090,29426033,3,1,2017-12-02,Churned
1391,160090,29426047,3,1,2017-12-02,Churned
5650,160090,29426093,3,1,2017-12-02,Churned
9433,160090,29426096,3,1,2017-12-02,Churned
9434,160090,29426104,3,1,2017-12-02,Churned
9435,160090,29426107,3,1,2017-12-02,Churned
4235,160090,29426115,3,1,2017-12-02,Churned
7002,160090,29426120,3,1,2017-12-02,Churned
21,160090,29426123,3,1,2017-12-02,Churned
721,160090,29426139,3,1,2017-12-02,Churned
22,160090,29426143,3,1,2017-12-02,Churned
4399,160090,29426145,3,1,2017-12-02,Churned
9872,160090,29426154,4,0,2017-12-21,Not Churned
6956,160090,29426186,3,1,2017-12-27,Churned
7369,160090,29426192,3,1,2017-12-02,Churned
3574,160090,29426198,3,1,2017-12-02,Churned
226,160090,29426228,3,1,2017-12-02,Churned
9707,160090,29426251,3,1,2017-12-02,Churned
227,160090,29426264,3,1,2017-12-02,Churned
11870,160090,29426276,3,1,2017-12-02,Churned
4400,160090,29426287,3,1,2017-12-02,Churned
9708,160090,29426292,3,1,2017-12-02,Churned
12503,160090,29426319,3,1,2018-05-10,Churned
228,160090,29426321,3,1,2017-12-02,Churned
229,160090,29426323,3,1,2017-12-02,Churned
1392,160090,29426346,3,1,2017-12-02,Churned
1393,160090,29426355,3,1,2017-12-02,Churned
4401,160090,29426365,3,1,2017-12-02,Churned
4402,160090,29426369,3,1,2017-12-02,Churned
23682,160090,29426379,3,1,2018-05-02,Churned
231,160090,29442799,3,1,2017-12-02,Churned
1008,160090,29442805,3,1,2017-12-02,Churned
4403,160090,29442810,3,1,2017-12-02,Churned
9436,160090,29442818,3,1,2017-12-02,Churned
5651,160090,29442840,3,1,2017-12-02,Churned
232,160090,29442844,3,1,2017-12-02,Churned
7370,160090,29442849,3,1,2017-12-02,Churned
4236,160090,29442865,3,1,2017-12-02,Churned
5652,160090,29442867,3,1,2017-12-02,Churned
3115,160090,29442872,3,1,2017-12-02,Churned
25724,160090,29442888,3,1,2018-05-10,Churned
11871,160090,29442892,3,1,2017-12-02,Churned
7003,160090,29442904,3,1,2017-12-02,Churned
7004,160090,29442910,3,1,2017-12-02,Churned
9437,160090,29442911,3,1,2017-12-02,Churned
1394,160090,29442932,3,1,2017-12-02,Churned
5653,160090,29443001,3,1,2017-12-02,Churned
7005,160090,29443022,3,1,2017-12-02,Churned
1395,160090,29443040,3,1,2017-12-02,Churned
12898,160090,29443059,3,1,2018-05-23,Churned
1010,160090,29443061,3,1,2017-12-02,Churned
4237,160090,29443062,3,1,2017-12-02,Churned
7371,160090,29443064,3,1,2017-12-02,Churned
5654,160090,29443082,3,1,2017-12-02,Churned
9710,160090,29443087,3,1,2017-12-02,Churned
11872,160090,29443103,3,1,2017-12-02,Churned
9711,160090,29443115,3,1,2017-12-02,Churned
11873,160090,29443131,3,1,2017-12-02,Churned
5655,160090,29443145,3,1,2017-12-02,Churned
4404,160090,29443151,3,1,2017-12-02,Churned
1396,160090,29443162,3,1,2017-12-02,Churned
1397,160090,29443168,3,1,2017-12-02,Churned
5656,160090,29443173,3,1,2017-12-02,Churned
3575,160090,29443217,3,1,2017-12-02,Churned
722,160090,29443222,3,1,2017-12-02,Churned
5657,160090,29443225,3,1,2017-12-02,Churned
24,160090,29443235,3,1,2017-12-02,Churned
9439,160090,29443238,3,1,2017-12-02,Churned
4405,160090,29443244,3,1,2017-12-02,Churned
5658,160090,29443246,3,1,2017-12-02,Churned
3576,160090,29443247,3,1,2017-12-02,Churned
1398,160090,29443251,3,1,2017-12-02,Churned
5659,160090,29443259,3,1,2017-12-02,Churned
5660,160090,29443260,3,1,2017-12-02,Churned
3577,160090,29443277,3,1,2017-12-02,Churned
5091,160090,29443280,3,1,2018-03-23,Churned
1399,160090,29443290,3,1,2017-12-02,Churned
81039,160090,29443303,3,1,2017-12-02,Churned
7372,160090,29443309,3,1,2017-12-02,Churned
1400,160090,29443311,3,1,2017-12-02,Churned
1401,160090,29443322,3,1,2017-12-02,Churned
1402,160090,29443328,3,1,2017-12-02,Churned
2948,160090,29443354,3,1,2017-12-02,Churned
9440,160090,29443369,3,1,2017-12-02,Churned
723,160090,29443377,3,1,2017-12-02,Churned
1403,160090,29443386,3,1,2017-12-02,Churned
1404,160090,29443388,3,1,2017-12-02,Churned
81044,160090,29443395,3,1,2017-12-02,Churned
3578,160090,29443404,3,1,2017-12-02,Churned
5580,160090,29443408,3,1,2018-03-27,Churned
81083,160090,29443416,3,1,2017-12-02,Churned
1012,160090,29443441,3,1,2017-12-02,Churned
11874,160090,29443445,3,1,2017-12-02,Churned
7006,160090,29443447,3,1,2017-12-02,Churned
25,160090,29443451,3,1,2017-12-02,Churned
4406,160090,29443463,3,1,2017-12-02,Churned
724,160090,29443478,3,1,2017-12-02,Churned
12613,160090,29443497,4,0,2018-03-17,Not Churned
1405,160090,29443513,3,1,2017-12-02,Churned
11875,160090,29443543,3,1,2017-12-02,Churned
4407,160090,29443600,3,1,2017-12-02,Churned
7007,160090,29443644,3,1,2017-12-02,Churned
81090,160090,29443660,3,1,2017-12-02,Churned
9712,160090,29443669,3,1,2017-12-02,Churned
1406,160090,29443739,3,1,2017-12-02,Churned
9713,160090,29443768,3,1,2017-12-02,Churned
9442,160090,29443771,3,1,2017-12-02,Churned
7373,160090,29443785,3,1,2017-12-02,Churned
9443,160090,29443790,3,1,2017-12-02,Churned
1407,160090,29443801,3,1,2017-12-02,Churned
12836,160090,29443809,4,0,2018-03-22,Not Churned
9444,160090,29443820,3,1,2017-12-02,Churned
4238,160090,29443881,3,1,2017-12-02,Churned
7008,160090,29443887,3,1,2017-12-02,Churned
7374,160090,29443888,3,1,2017-12-02,Churned
5661,160090,29443895,3,1,2017-12-02,Churned
2950,160090,29443901,3,1,2017-12-02,Churned
11876,160090,29443921,3,1,2017-12-02,Churned
72118,160090,29443927,4,0,2018-07-23,Not Churned
5663,160090,29443939,3,1,2017-12-02,Churned
71907,160090,29443942,3,1,2018-07-27,Churned
1408,160090,29443954,3,1,2017-12-02,Churned
1013,160090,29443958,3,1,2017-12-02,Churned
2951,160090,29443963,3,1,2017-12-02,Churned
9715,160090,29443967,3,1,2017-12-02,Churned
9445,160090,29443987,3,1,2017-12-02,Churned
1409,160090,29443993,3,1,2017-12-02,Churned
725,160090,29444018,3,1,2017-12-02,Churned
1014,160090,29444035,3,1,2017-12-02,Churned
11652,160090,29444038,4,0,2018-03-21,Not Churned
7009,160090,29444104,3,1,2017-12-02,Churned
26,160090,29444116,3,1,2017-12-02,Churned
2952,160090,29444148,3,1,2017-12-02,Churned
233,160090,29444156,3,1,2017-12-02,Churned
234,160090,29444175,3,1,2017-12-02,Churned
27,160090,29444237,3,1,2017-12-02,Churned
4239,160090,29444254,3,1,2017-12-02,Churned
1410,160090,29444255,3,1,2017-12-02,Churned
28,160090,29444273,3,1,2017-12-02,Churned
3580,160090,29444282,3,1,2017-12-02,Churned
1411,160090,29444283,3,1,2017-12-02,Churned
7010,160090,29444301,3,1,2017-12-02,Churned
3581,160090,29444307,3,1,2017-12-02,Churned
11877,160090,29444326,3,1,2017-12-02,Churned
235,160090,29444332,3,1,2017-12-02,Churned
236,160090,29444340,3,1,2017-12-02,Churned
4240,160090,29444359,3,1,2017-12-02,Churned
4241,160090,29444386,3,1,2017-12-02,Churned
7375,160090,29444390,3,1,2017-12-02,Churned
237,160090,29444391,3,1,2017-12-02,Churned
4242,160090,29444394,3,1,2017-12-02,Churned
9716,160090,29444429,3,1,2017-12-02,Churned
2953,160090,29444459,3,1,2017-12-02,Churned
17549,160090,29444471,4,0,2017-12-21,Not Churned
3582,160090,29444481,3,1,2017-12-02,Churned
2435,160090,29444495,3,1,2018-01-10,Churned
29,160090,29444516,3,1,2017-12-02,Churned
3583,160090,29444536,3,1,2017-12-02,Churned
10328,160090,29444542,4,0,2018-01-24,Not Churned
42525,160090,29444547,3,1,2018-06-05,Churned
9447,160090,29444549,3,1,2017-12-02,Churned
4409,160090,29444555,3,1,2017-12-02,Churned
4410,160090,29444559,3,1,2017-12-02,Churned
